group,skill_a,skill_b,cooccurrence
Non-AI-mention,Adobe Analytics,Google Analytics,97
Non-AI-mention,Looker,Python,92
Non-AI-mention,Google Analytics,Python,91
Non-AI-mention,Excel,Looker,90
Non-AI-mention,SQL,Snowflake,86
Non-AI-mention,Adobe Analytics,SQL,86
Non-AI-mention,BigQuery,Looker,78
Non-AI-mention,BigQuery,Google Analytics,74
Non-AI-mention,BigQuery,Power BI,67
Non-AI-mention,Adobe Analytics,Power BI,67
Non-AI-mention,BigQuery,Python,65
Non-AI-mention,Excel,Salesforce,64
Non-AI-mention,Adobe Analytics,Tableau,64
Non-AI-mention,Databricks,SQL,63
Non-AI-mention,BigQuery,Tableau,63
Non-AI-mention,Google Ads,Meta Ads / Facebook Ads,62
Non-AI-mention,Power BI,Salesforce,61
Non-AI-mention,Power BI,Snowflake,59
Non-AI-mention,Python,Snowflake,59
Non-AI-mention,SQL,Salesforce,54
Non-AI-mention,Google Analytics,Meta Ads / Facebook Ads,53
Non-AI-mention,Snowflake,Tableau,52
Non-AI-mention,Google Cloud (GCP),SQL,51
Non-AI-mention,AWS,SQL,50
Non-AI-mention,Excel,Google Ads,47
Non-AI-mention,Salesforce,Tableau,47
Non-AI-mention,Azure,SQL,47
Non-AI-mention,Adobe Analytics,Excel,46
Non-AI-mention,Databricks,Power BI,44
Non-AI-mention,Adobe Analytics,Python,43
Non-AI-mention,Azure,Power BI,43
Non-AI-mention,Google Analytics,Salesforce,43
Non-AI-mention,Databricks,Python,42
Non-AI-mention,BigQuery,Snowflake,41
Non-AI-mention,AWS,Python,39
Non-AI-mention,SAS,SQL,35
Non-AI-mention,Adobe Analytics,Looker,35
Non-AI-mention,AWS,Power BI,34
Non-AI-mention,AWS,Tableau,34
Non-AI-mention,Google Cloud (GCP),Python,34
Non-AI-mention,Google Ads,SQL,33
Non-AI-mention,Azure,Python,32
Non-AI-mention,Python,Salesforce,32
Non-AI-mention,Google Analytics,Snowflake,31
Non-AI-mention,Excel,SAP,31
Non-AI-mention,Python,SAS,31
Non-AI-mention,Looker,Snowflake,30
Non-AI-mention,HubSpot,Salesforce,29
Non-AI-mention,BigQuery,Google Cloud (GCP),29
Non-AI-mention,Google Ads,Looker,29
Non-AI-mention,Excel,Meta Ads / Facebook Ads,29
Non-AI-mention,Google Cloud (GCP),Tableau,28
Non-AI-mention,Looker,Salesforce,28
Non-AI-mention,Azure,Tableau,26
Non-AI-mention,Databricks,Tableau,26
Non-AI-mention,Google Analytics,HubSpot,26
Non-AI-mention,BigQuery,Excel,26
Non-AI-mention,Google Cloud (GCP),Power BI,25
Non-AI-mention,Excel,Snowflake,24
Non-AI-mention,Google Ads,Power BI,24
Non-AI-mention,Google Ads,Tableau,24
Non-AI-mention,SAS,Tableau,23
Non-AI-mention,Redshift,SQL,23
Non-AI-mention,Power BI,SAP,23
Non-AI-mention,Databricks,Excel,22
Non-AI-mention,Databricks,Snowflake,22
Non-AI-mention,Excel,HubSpot,21
Non-AI-mention,AWS,Azure,21
Non-AI-mention,Google Cloud (GCP),Looker,21
Non-AI-mention,AWS,Google Cloud (GCP),20
Non-AI-mention,Redshift,Snowflake,20
Non-AI-mention,Excel,SAS,19
Non-AI-mention,AWS,Snowflake,19
Non-AI-mention,Adobe Analytics,Salesforce,19
Non-AI-mention,Google Ads,Python,18
Non-AI-mention,Redshift,Tableau,18
Non-AI-mention,Google Analytics,Google Cloud (GCP),18
Non-AI-mention,Adobe Analytics,Snowflake,17
Non-AI-mention,Azure,Google Cloud (GCP),17
Non-AI-mention,Power BI,SAS,16
Non-AI-mention,Python,Redshift,16
Non-AI-mention,Meta Ads / Facebook Ads,SQL,16
Non-AI-mention,Databricks,Looker,16
Non-AI-mention,AWS,Google Analytics,15
Non-AI-mention,Azure,Snowflake,15
Non-AI-mention,BigQuery,Redshift,15
Non-AI-mention,Python,SPSS,15
Non-AI-mention,Meta Ads / Facebook Ads,Tableau,15
Non-AI-mention,Mixpanel,SQL,15
Non-AI-mention,Looker,Meta Ads / Facebook Ads,15
